"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"283",157,"Mouse","NP",3.747270657,45.8941407216667,FALSE
"284",158,"Mouse","NP",10.92271575,45.8941407216667,FALSE
"285",159,"Mouse","NP",9.041149841,45.8941407216667,FALSE
"286",160,"Mouse","NP",7.082560822,45.8941407216667,FALSE
"287",161,"Mouse","NP",380.6119051,45.8941407216667,TRUE
"288",162,"Mouse","NP",12.71020194,45.8941407216667,FALSE
"289",163,"Mouse","NP",16.24242684,45.8941407216667,FALSE
"290",164,"Mouse","NP",19.58783138,45.8941407216667,FALSE
"291",165,"Mouse","NP",10.38029197,45.8941407216667,FALSE
"292",168,"Mouse","NP",5.318055129,45.8941407216667,FALSE
"293",170,"Mouse","NP",5.565884665,45.8941407216667,FALSE
"294",171,"Mouse","NP",8.250067614,45.8941407216667,FALSE
"295",172,"Mouse","NP",5.940402239,45.8941407216667,FALSE
"296",173,"Mouse","NP",3.27982139,45.8941407216667,FALSE
"297",175,"Mouse","NP",1438.610898,45.8941407216667,TRUE
"298",176,"Mouse","NP",11.60587107,45.8941407216667,FALSE
"299",177,"Mouse","NP",NA,45.8941407216667,FALSE
"300",178,"Mouse","NP",NA,45.8941407216667,FALSE
"301",179,"Mouse","NP",5.441780997,45.8941407216667,FALSE
"302",184,"Mouse","NP",6.698873438,45.8941407216667,FALSE
"303",185,"Mouse","NP",8.908631822,45.8941407216667,FALSE
"304",188,"Mouse","NP",6.318111674,45.8941407216667,FALSE
"305",189,"Mouse","NP",11.60587107,45.8941407216667,FALSE
"306",190,"Mouse","NP",9.440263212,45.8941407216667,FALSE
"307",192,"Mouse","NP",6.444699617,45.8941407216667,FALSE
"308",196,"Mouse","NP",3.395897989,45.8941407216667,FALSE
"309",200,"Mouse","NP",7.339920247,45.8941407216667,FALSE
"310",202,"Mouse","NP",6.318111674,45.8941407216667,FALSE
"311",205,"Mouse","NP",8.119181035,45.8941407216667,FALSE
"312",210,"Mouse","NP",8.381233755,45.8941407216667,FALSE
"313",211,"Mouse","NP",10.38029197,45.8941407216667,FALSE
"314",213,"Mouse","NP",13.71287116,45.8941407216667,FALSE
"315",214,"Mouse","NP",NA,45.8941407216667,FALSE
"316",217,"Mouse","NP",NA,45.8941407216667,FALSE
"317",219,"Mouse","NP",7.974399594,45.8941407216667,FALSE
"318",220,"Mouse","NP",NA,45.8941407216667,FALSE
"319",221,"Mouse","NP",NA,45.8941407216667,FALSE
"320",224,"Mouse","NP",NA,45.8941407216667,FALSE
"321",225,"Mouse","NP",NA,45.8941407216667,FALSE
"322",237,"Mouse","NP",NA,45.8941407216667,FALSE
