Animal_ID,Species_ab,Protein,U_mL
282,Rat,NP,NA
283,Rat,NP,NA
286,Rat,NP,NA
288,Rat,NP,NA
299,Rat,NP,NA
335,Rat,NP,NA
336,Rat,NP,NA
337,Rat,NP,NA
340,Rat,NP,NA
344,Rat,NP,NA
333,Rat,NP,NA
343,Rat,NP,NA
345,Rat,NP,NA
346,Rat,NP,NA
349,Rat,NP,NA
351,Rat,NP,NA
355,Rat,NP,NA
356,Rat,NP,NA
357,Rat,NP,NA
358,Rat,NP,NA
359,Rat,NP,NA
364,Rat,NP,NA
369,Rat,NP,NA
371,Rat,NP,NA
372,Rat,NP,NA
374,Rat,NP,NA
378,Rat,NP,NA
381,Rat,NP,NA
384,Rat,NP,NA
385,Rat,NP,NA
386,Rat,NP,NA
388,Rat,NP,NA
391,Rat,NP,NA
393,Rat,NP,NA
394,Rat,NP,NA
395,Rat,NP,NA
399,Rat,NP,NA
400,Rat,NP,NA
405,Rat,NP,NA
408,Rat,NP,NA
409,Rat,NP,NA
410,Rat,NP,NA
411,Rat,NP,NA
412,Rat,NP,NA
414,Rat,NP,NA
417,Rat,NP,NA
418,Rat,NP,NA
419,Rat,NP,NA
420,Rat,NP,NA
421,Rat,NP,NA
448,Rat,NP,NA
451,Rat,NP,NA
458,Rat,NP,NA
486,Rat,NP,NA
488,Rat,NP,NA
490,Rat,NP,NA
497,Rat,NP,NA
500,Rat,NP,NA
502,Rat,NP,NA
503,Rat,NP,NA
504,Rat,NP,NA
505,Rat,NP,NA
506,Rat,NP,NA
507,Rat,NP,NA
511,Rat,NP,NA
513,Rat,NP,NA
515,Rat,NP,NA
516,Rat,NP,NA
517,Rat,NP,NA
518,Rat,NP,NA
519,Rat,NP,NA
520,Rat,NP,NA
521,Rat,NP,NA
522,Rat,NP,NA
523,Rat,NP,NA
524,Rat,NP,NA
526,Rat,NP,NA
527,Rat,NP,NA
71,Rat,NP,NA
78,Rat,NP,NA
191,Rat,NP,NA
